Name,Type,Category,Power,Acc.,PP,Heal,Times Hit,First,Crit,Insta,Dodge,Flinch,Charge
Astonish,Ghost,Physical,0.3,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Astral Barrage,Ghost,Special,1.2,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Attack Order,Bug,Physical,0.9,100,15,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,
Aura Sphere,Fighting,Special,0.8,100,20,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,
Aura Wheel,Electric,Physical,1.1,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Aurora Beam,Ice,Special,0.65,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Avalanche,Ice,Physical,0.6,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Axe Kick,Fighting,Physical,1.2,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Baddy Bad,Dark,Special,0.9,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Barb Barrage,Poison,Physical,0.6,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Barrage,Normal,Physical,0.15,85,20,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,
Baton Pass,Normal,Special,0,0,40,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Beak Blast,Flying,Physical,1,1,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Behemoth Bash ,Steel,Physical,1,1,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Behemoth Blade,Steel,Physical,1,1,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Belch,Poison,Special,1.2,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Bind,Normal,Physical,0.15,85,20,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,
Bite,Dark,Physical,0.6,100,25,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,
Bitter Blade,Fire,Physical,0.9,100,10,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Bitter Malice,Ghost,Special,0.75,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,
Blast Burn,Fire,Special,1.5,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Blaze Kick,Fire,Physical,0.85,90,10,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Blazing Torque,Fire,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bleakwind Storm,Flying,Special,0.8,80,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Blizzard,Ice,Special,1.1,70,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Blue Flare,Fire,Special,1.3,0.85,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Body Press,Fighting,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Body Slam,Normal,Physical,0.85,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bolt Beak,Electric,Physical,0.85,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bolt Strike,Electric,Physical,1.3,85,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bone Club,Ground,Physical,0.65,85,10,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Bone Rush,Ground,Physical,0.25,90,10,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bonemerang,Ground,Physical,0.5,90,10,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Boomburst,Normal,Special,1.4,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bounce,Flying,Physical,0.85,85,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bouncy Bubble,Water,Special,0.9,100,15,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Branch Poke,Grass,Physical,0.4,100,40,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Brave Bird,Flying,Physical,1.2,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Breaking Swipe,Dragon,Physical,0.6,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Brick Break,Fighting,Physical,0.75,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Brine,Water,Special,0.65,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Brutal Swing,Dark,Physical,0.6,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bubble,Water,Special,0.4,100,30,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bubble Beam,Water,Special,0.65,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bug Bite,Bug,Physical,0.6,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bug Buzz,Bug,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bulldoze,Ground,Physical,0.6,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bullet Punch,Steel,Physical,0.4,100,30,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Bullet Seed,Grass,Physical,0.25,100,30,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Burn Up,Fire,Special,1.3,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Burning Jealousy,Fire,Special,0.7,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Buzzy Buzz,Electric,Special,0.9,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ceaseless Edge,Dark,Physical,0.65,90,15,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Charge Beam,Electric,Special,0.5,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Chatter,Flying,Special,0.65,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Chilling Water,Water,Special,0.5,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Chip Away,Normal,Physical,0.7,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Chloroblast,Grass,Special,1.5,95,5,-0.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Circle Throw,Fighting,Physical,0.6,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Clamp,Water,Physical,0.35,85,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Claning Scales,Dragon,Special,1.1,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Clear Smog,Poison,Special,50,100,15,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Close Combat,Fighting,Physical,1.2,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Collision Course,Fighting,Physical,1,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Combat Torque,Fighting,Physical,1,1,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Comet Punch,Normal,Physical,0.18,85,15,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Comeuppance,Dark,Physical,0.01,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Confusion,Phychic,Special,0.5,100,25,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Constrict,Normal,Physical,0.1,100,35,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Core Enforcer,Dragon,Special,1,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Covet,Normal,Physical,0.6,100,25,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Crabhammer,Water,Physical,1,0.9,10,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Cross Chop,Fighting,Physical,1,0.8,5,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Cross Poison,Poison,Physical,0.7,100,20,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Crunch,Dark,Physical,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Crush Claw,Normal,Physical,0.75,95,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dark Pulse,Dark,Special,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Darkest Lariat,Dark,Physical,0.85,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dazziling Gleam,Fairy,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Diamond Storm,Rock,Physical,1,0.95,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dig,Ground,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dire Claw,Posion,Physical,0.8,100,15,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Disarming Voice,Fairy,Special,0.4,100,15,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Discharge,Electric,Special,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dive,Water,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dizzy Punch,Normal,Physical,0.7,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Doom Desire,Steel,Special,1.4,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Double Hit,Normal,Physical,0.35,90,10,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Double Iron Bash,Steel,Physical,0.6,100,5,0,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Double Kick,Fighting,Physical,0.3,100,30,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Doube Shock,Electric,Physical,1.2,100,5,-0.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Double Slap,Normal,Physical,0.15,85,10,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Double Edge,Normal,Physical,1.2,100,15,-0.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Draco Meteor,Dragon,Special,1.3,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Ascent,Flying,Physical,1.2,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Breath,Dragon,Special,0.6,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Claw,Dragon,Physical,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Darts,Dragon,Physical,0.5,100,10,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Energy,Dragon,Special,1.5,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Hammer,Dragon,Physical,0.9,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Pulse,Dragon,Special,0.85,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Rage,Dragon,Special,,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dragon Rush,Dragon,Physical,1,75,10,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Dragon Tail,Dragon,Physical,0.6,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Drain Punch,Fighting,Physical,0.75,100,10,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Draining Kiss,Fairy,Special,0.5,100,10,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Drill Peck,Flying,Physical,0.8,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Drill Run,Ground,Physical,0.8,95,10,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Drum Beating,Grass,Physical,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dual Chop,Dragon,Physical,0.4,90,15,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dual Wingbeat,Flying,Physical,0.4,90,10,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Earth Power,Ground,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Earthquake,Ground,Physical,1,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Echoed Voice,Normal,Special,0.4,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Eerie Spell,Psychic,Special,0.8,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Egg Bomb,Normal,Physical,1,75,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Electro Ball,Electric,Special,,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Electro Drift,Electric,Special,1,100,5,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Electro Shot,Electric,Special,1.3,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Electroweb,Electric,Special,0.55,95,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ember,Fire,Special,0.4,100,25,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Energy Ball,Grass,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Eruption,Fire,Special,1.5,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Esper Wing,Psychic,Special,0.8,100,10,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Eternabeam,Dragon,Special,1.6,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Expanding Force,Psychic,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Explosion,Normal,Special,2.5,100,5,-9999999,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Extrasensory,Phychic,Special,0.8,100,20,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Extreme Speed,Normal,Physical,0.8,100,5,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Facade,Normal,Physical,0.7,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fairy Wind,Fairy,Special,0.4,100,30,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fake Out,Normal,Physical,0.4,100,10,0,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
False Surrender,Dark,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
False Swipe,Normal,Physical,0.4,100,40,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Feint Attack,Dark,Physical,0.6,100,20,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fell Stinger,Bug,Physical,0.5,100,25,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fickle Beam,Dragon,Special,0.8,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fiery Dance,Fire,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fiery Wrath,Dark,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Final Gambit,Fighting,Special,0,100,5,-999999,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fire Blast,Fire,Special,1.1,85,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fire Fang,Fire,Special,0.65,95,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Fire Lash,Fire,Physical,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fire Pledge,Fire,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fire Punch,Fire,Physical,0.75,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fire Spin,Fire,Special,0.35,85,15,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
First Impression,Bug,Physical,0.9,100,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fishious Rend,Water,Physical,0.85,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fissure,Ground,Physical,0,30,5,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Flail,Normal,Physical,0.5,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flame Burst,Fire,Special,0.7,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flame Charge,Fire,Physical,0.5,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flame Wheel,Fire,Physical,0.6,100,25,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flamethrower,Fire,Special,0.9,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flare Blitz,Fire,Physical,1.2,100,15,-0.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flash Cannon,Steel,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fleur Cannon,Fairy,Special,1.3,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flip Turn,Water,Physical,0.6,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Floaty Fall,Flying,Physical,0.9,95,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Flower Trick,Grass,Physical,0.7,100,10,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Fly,Flying,Physical,0.9,95,15,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Flying Press,Fighting,Physical,1,95,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Focus Blast,Fighting,Special,1.2,70,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Force Palm,Fighting,Physical,0.6,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Foul Play,Dark,Physical,0.95,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Freeze Shock,Ice,Physical,1.4,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Freeze Dry,Ice,Special,0.7,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Freezing Glare,Psychic,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Freezy Frost,Ice,Special,0.9,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Frenzy Plant,Grass,Special,1.5,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Frost Breath,Ice,Special,0.6,90,10,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Frustration,Normal,Physical,1.2,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fury Attack,Normal,Physical,0.15,85,20,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fury Cutter,Bug,Physical,0.5,95,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fury Swipes,Normal,Physical,0.18,80,15,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fusion Bolt,Electric,Physical,1.1,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fusion Fire,Fire,Special,1.1,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Gear Grind,Steel,Physical,0.5,85,15,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Giga Drain,Grass,Special,0.75,100,10,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Giga Impact,Normal,Physical,1.5,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Gigaton Hammer,Steel,Physical,1.8,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Glacial Lance,Ice,Physical,1.2,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Glaciate,Ice,Special,0.65,95,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Glaive Rush,Dragon,Physical,1.1,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Glitzy Glow,Psychic,Special,0.9,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Grass Pledge,Grass,Special,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Grassy Glide,Grass,Physical,0.6,100,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Grav Apple,Grass,Physical,0.8,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Guillotine,Normal,Physical,0,30,5,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Gunk Shot,Poison,Physical,1.2,80,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Gust,Flying,Special,0.4,100,35,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Gyro Ball,Steel,Physical,0.6,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hammer Arm,Fighting,Physical,1,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Head Charge,Normal,Physical,1.2,100,15,-0.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Head Smash,Rock,Physical,1.5,80,5,-0.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Headbutt,Normal,Physical,0.7,100,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Headlong Rush,Ground,Physical,1.2,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Heart Stamp,Psychic,Physical,0.6,100,25,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Heat Crash,Fire,Physical,0.75,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Heat Wave,Fire,Special,0.95,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Heavy Slam,Steel,Physical,0.75,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hex,Ghost,Special,0.65,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hidden Power,Normal,Special,0.7,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
High Horsepower,Ground,Physical,0.95,95,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
High Jump Kick,Fighting,Physical,1.3,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hold Back,Normal,Physical,0.4,100,40,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Horn Attack,Normal,Physical,0.65,100,25,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Horn Drill,Normal,Physical,0,30,5,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Horn Leech,Grass,Physical,0.75,100,10,0.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hurricane,Flying,Special,1.1,70,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hydro Cannon,Water,Special,1.5,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Hydro Pump,Water,Special,1.1,80,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hydro Seam,Water,Special,0.8,100,15,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hyper Beam,Normal,Special,1.5,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Hyper Drill,Normal,Physical,1.1,100,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hyper Fang,Normal,Physical,0.8,90,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Hyper Voice,Normal,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hyperspace Fury,Dark,Physical,1,100,5,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hyperspace Hole,Psychic,Special,0.8,100,5,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ice Ball,Ice,Physical,0.5,90,20,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ice Beam,Ice,Special,0.9,100,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ice Burn,Ice,Special,1.4,90,5,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Ice Fang,Ice,Physical,0.65,95,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ice Hammer,Ice,Physical,1,90,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Ice Punch,Ice,Physical,0.75,100,15,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Ice Shard,Ice,Physical,0.4,100,30,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ice Spinner,Ice,Physical,0.8,100,30,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
